a-bê-cê	abecedário
amotinar-se	insubordinar-se
amotinação	levante
amover	despojar
amovível	removível
amparado	resguardado
amparar	estacar
amparo	asilo
ampliar	dilatar
ampliação	crescimento
amplidão	vastidão
amplificador	aumentador
amplificar	delongar
amputar	cercear
amuado	embezerrado
amuar	repanhar
amuar-se	entufar-se
amulatar	atrigueirar
amulatar-se	bronzear-se
amulherado	inviril
amunicionar	municiar
amurchecer	desflorescer
amásio	amigo
amável	caroável
anacorético	lauretano
anafado	luzidio
anafrodisia	impotência
analgésico	análgico
analisar	farejar
analogia	conformidade
ananicado	calhorda
anano	anãzado
anarquia	babilônia
anarquizado	bagunçado
anarquizar	destemperar
anatematização	excomungação
ancho	enfatuado
ancorado	surto
ancoradouro	fundeadoiro
ancorar	fundear
ancípite	indeliberado
andadeiro	andeiro
andado	decorrido
andaina	fileira
andamento	seguimento
andar	operar
andarengo	andeiro
andarilhar	vagabundear
andejo	errático
andrajoso	pelintra
andrômina	artifício
anegrado	negrusco
anelar	desejar
anelo	ânsia
anemiado	enfraquecido
anemiar	consumir
anemizar	fragilizar
anestesiar	narcotizar
angariar	conseguir
angelical	angélico
anglomaníaco	anglômano
angurriado	esuriente
angurriento	famélico
angustiado	confrangido
angustiar	mortificar
angustiar-se	apoquentar-se
angústia	sofrimento
angüiforme	serpentinado
anhanho	lambão
anichar-se	entrouxar-se
anilado	azulado
animado	espigaitado
animador	confortador
animadversão	ripada
animalizar-se	bestializar-se
animar	bafejar
animação	vibração
animosidade	desinteligência
animoso	brioso
aninar	ninar
aninhar	encafurnar
aninhar-se	encafurnar-se
anipnia	insonolência
aniquilado	apeado
aniquilamento	profusão
aniquilar-se	evaporizar-se
aniquilação	eliminação
anoitecer	noitinha
anojadiço	azougado
anojado	enfastiado
anojar	entediar
anojar-se	nausear-se
anojoso	nojoso
anorgânico	inorgânico
anortear	guiar
anotar	titular
anoutar	noitecer
ansiado	cobiçado
ansiar	later
antagonismo	paradoxalidade
antagonista	concorrente
antagônico	contraditório
antealvorar	matinar
antecedente	anterior
antecessor	antepassado
antecontrato	pré-contrato
antedito	predito
antedizer	pressentir
anteferir	preferir
antelóquio	prefácio
antepor	preferir
antepor-se	repulsar
anteriormente	atrás
antes	mais
antes-tempo	antetempo
antever	presumir
antevidência	previdência
antibrômico	desodorizante
antidemocrata	antidemocrático
antiformoso	feio
antiibérico	antiiberista
antipatia	desinteligência
antipatizar	implicar
antipoético	apoético
antipático	contrário
antiquado	antiquário
antiquar	desatualizar
antitético	oposto
antojar	imaginar
antologia	seleção
antologiar	respigar
antro	fojo
antropóide	homínido
anulado	cassado
anulador	nulificante
anular-se	desgregar-se
anulação	inutilização
anulável	nulificável
anunciar	expedir
anunciação	participação
anuviar-se	encangotar-se
análise	exploração
anárquico	bagunçado
anátema	excomungação
anêmico	frouxo
anódino	fútil
anúncio	vaticínio
apacificar	desencrespar
apadrinhar	soprar
apagamento	expunção
apagar	debotar
apaixonado	fanático
apaixonante	sedutor
apaixonar-se	embeiçar-se
apalavrado	concertado
apalavrar-se	empenhorar-se
apalear	aporretar
apalermado	tolo
apalpar	farejar
apalpação	tateamento
apancadado	tonto
apancado	estólido
apandilhar-se	deslustrar-se
apanhado	levantado
apanhar	apropriar-se
apaniguar	sorrir
apara	maravalha
aparado	aposto
aparamentado	ornamentado
aparamentar	colorizar
aparamentar-se	espenicar-se
aparar	tosar
aparatar	ornamentar
aparato	ostentação
aparecer	sair
aparecimento	eclosão
aparelhado	preparado
aparelho	utensílio
aparentar	dissimular
aparente	paralelo
aparição	fantasmagoria
apartamento	solidão
apartar	remover
apartar-se	fugir
aparte	interrupção
aparvado	apatetado
aparvalhado	extasiado
aparvalhar-se	desnortear-se
aparvanhado	apatetado
aparvoado	mazanza
aparvoar	zonzar
aparência	cara
apascentar	espairecer
apascentar-se	folgazar
apassionar-se	enamorar-se
apassivante	apassivativo
apatetado	tolo
apatia	frouxidão
apaulado	lutoso
apaulistanizar	apaulistar
apavesar-se	envaidar-se
apavonado	vanglorioso
apavonar	ufanar
apavonar-se	endeusar-se
apavorado	despavorido
apavorador	aterrador
apavorante	aterrador
apavorar	espavorizar
apavorar-se	intimidar-se
apavorizar	aterrorizar
apaziguador	pacificador
apaziguamento	harmonia
apaziguar	tranqüilizar
apeado	dispensado
apear	desfabricar
apedrar	lapidar
apedrejado	ofendido
apedrejar	xingar
apegado	pegado
apejar	vedar
apejar-se	oscilar
apelar	recorrer
apelidado	denominado
apelidar	titular
apenas	levemente
apender	apensar
apendoar	pendoar
apensar	apor
apepinar	tourear
aperaltar	janotear
aperceber	entabular
apercebido	providente
aperfeiçoamento	aprimoramento
aperfeiçoar-se	requintar-se
aperiente	ecfrático
aperrar	insistir
apertado	atribulado
apertar	sotrancar
aperto	miséria
apertura	rascada
apessoado	bem-vestido
apestar	viciar
apetecer	satisfazer
apetecível	convidativo
apezinhar	desconsiderar
apeçonhado	venenoso
apeçonhar	empeçonhentar
apeçonhentado	peçonhento
apeçonhentar	desvirtuar
apicaçar	puxar
apiedado	pio
apimentado	quente
apinhar-se	enxamear-se
apisoar	suplantar
apitar	ciciar
aplacador	pacificador
aplacamento	contemporização
aplacar	serenar
aplacar-se	placar-se
aplacação	contemporização
aplainar	laxar
aplainar-se	igualar-se
aplanado	chapado
aplanar	desentaipar
aplastar	esbofar
aplastar-se	cansar-se
aplaudido	laureado
aplauso	aprovação
aplausos	palmas
aplicar	empregar
aplicação	uso
apocalíptico	intrincado
apocalítico	informe
apodar	debicar
apoderado	apossado
apodo	zombaria
apodrecer	desconsertar
apodrecer-se	transviar-se
apodrecido	decomposto
apoiar	laurear
apoiar-se	escudar-se
apoio	escora
apojar	tufar
apologizar	desculpar
apoltronar-se	refestelar-se
apolvilhar	empoar
apontado	sugerido
apontamento	indigitação
apontar	extravasar
apontoar	estear
apoquentado	atormentado
apoquentar	causticar
apoquentar-se	molestar-se
apor	incorporar
aporfiar	questionar
aporreado	espancado
aporreamento	raladura
aporrear	cauterizar
aporretar	derrear
aportar	desembarcar
aposentado	inativo
aposentar	recolher
aposento	morada
apossado	apropriado
apossar-se	entrar
apossear-se	assaltear
aposta	jogo
apostema	intumescência
apostemar-se	remorder-se
apostila	apostilha
apostolizador	evangelizador
apoteotizar	glorificar
apoucado	triste
apoucar	decair
apoético	despoético
apragatado	prudente
aprazado	procrastinado
aprazenteiro	aprazerado
aprazer	deliciar
aprazível	sonoro
aprear	confinar
apreciado	avaliado
apreciar	examinar
apreciação	critério
apreciável	assinalável
apreender	desconfiar
apreensivo	preocupado
apregoar	disseminar
aprendido	decorado
aprendizado	tirocínio
apresentar	propor
apresentação	cara
apressadamente	rapidamente
apressurar-se	mexer-se
aprestado	preste
apresto	avio
apreçante	apreciador
aprimorar	facetar
aprimorar-se	lapidar-se
aprisco	ovil
aprisionar	pegar
aprofundar	desencovar
aprontamento	aprontes
aprontar	vencer
apropositado	pertinente
apropositar	justar
apropriado	próprio
aprovar	simpatizar
aproveitamento	préstimo
aproximar	conjungir
aproximar-se	puxar
aproximação	encontro
aprumar-se	perfilar-se
aprumo	sobrançaria
apuado	pontiagudo
apuamento	penitência
apunhalar	frechar
apunhar	manear
apupada	assoviada
apupado	assoviado
apurado	requintado
apurar	procurar
apurar-se	lapidar-se
apurativo	detersório
apuro	embaraço
apurpurado	purpurejante
apurpurar	vermelhar
apático	indolente
aquartelar-se	instalar-se
aquebrantar	infringir
aquecer	indignar
aquecer-se	chispar
aquecido	encanzinado
aquedar	paziguar
aquentamento	esquentação
aqueronteu	trevoso
aquerôntico	sombrio
aqui	cá
aquiescer	assentar
aquietado	serenado
aquietar	pacificar
aquietar-se	sossegar-se
aquilonar	setentrional
aquinhoar	prover
aquisição	conquista
ar	tom
aragem	bafejo
aramista	equilibrista
aranzel	cantilena
arauto	internúncio
arbitrário	discricional
arborização	arvoragem
arcaboiçar	esboçar
arcabouçar	riscar
arcado	arqueado
arcaico	cediço
arcaístico	perempto
arcebispado	arquidiocese
archote	luzeiro
ardejar	chamear
ardente	caloroso
ardentia	fervor
arder	piançar
ardido	arrojado
ardidoso	cadimo
ardil	traça
ardileza	raposia
ardiloso	sonso
ardor	brasa
arduidade	laboriosidade
ardume	queimor
ardência	caldeação
areado	desorientado
arear	estrovinhar-se
arejo	refrescamento
arenga	discurso
arengar	pugnar
arenguear	rezingar
arengueiro	enredeiro
aresteiro	jurisprudente
areísco	areoso
arfada	palpite
arfadura	arfagem
arfar	jogar
argentado	prateado
argileira	barreiro
argueiro	pisca
argumentar	renhir
argumentação	debate
argumento	contexto
argúcia	transcendência
argüir	porfiar
argüição	imputação
aridez	aspereza
ariscar-se	assustar-se
arisco	rebelde
aristocracia	nata
arlequim	palhaço
armadilha	espera
armado	encoiraçado
armar	maquinar
armazém	mercearia
armação	montagem
armipotente	mavórtico
aro	círculo
aromado	odorífico
aromal	fragrante
aromalizar	balsamar
aromatizado	moscado
aromatização	embalsamamento
aromoso	moscado
aromático	olorante
arpear	arpoar
arqueado	combo
arqueadura	encurvamento
arqueamento	dobramento
arquear	envergar
arquejar	lufar
arqueável	flexível
arquitetado	edificado
arquitetônica	arquitetura
arquivamento	sobrestamento
arquivar	encerebrar
arquivo	auto
arrabalde	subúrbio
arraigar	implantar
arrampado	ladeira
arrancada	egressão
arrancadura	surto
arrancar	sufocar
arranhar	raspar
arranhão	raspão
arranjado	organizado
arranjar	restabelecer
arranjar-se	avir-se
arrapinar	escamotar
arrasado	devastado
arrasador	assolador
arrasar	carregar
arrastar	pregar
arrastrar	impelir
arrazoado	razoado
arrazoar	especular
arreado	empenado
arrear	vestir
arrear-se	fanfarronar
arreata	reata
arrebanhador	pegureiro
arrebanhar-se	consociar-se
arrebatado	desembestado
arrebatamento	fogosidade
arrebatar	palmear
arrebatar-se	encruar-se
arrebentado	moído
arrebentar	desabar
arrebitar	rebater
arrebitar-se	envinagrar-se
arrebito	imodéstia
arredado	derivado
arredar	desconchegar
arredio	tresmalhado
arredondado	boleado
arredondamento	harmonização
arredondar	inteirar
arrefecer	comutar
arrefecer-se	esfriar-se
arrefentar	torpecer
arrefeçado	desentonado
arrefeçar	baratear
arregalar-se	esbugalhar-se
arreganho	desassombro
arregaço	esfrega
arregoar	sulcar
arreigado	crônico
arreigar-se	inviscerar
arrelia	zanga
arreliar	encalmar
arreliar-se	irritar-se
arreliento	pendenciador
arrelioso	rusguento
arrelvar	relvejar
arrematar	inteirar
arrematação	rematação
arremate	fecho
arremedo	macaqueação
arremenicar	retorquir
arremessado	desconsiderado
arremessar	propelir
arremetedor	arremetente
arremetedura	arrojamento
arremeter	opugnar
arremetimento	remetida
arrenegar	descrer
arrenegação	traição
arrenego	renunciação
arrepanhado	encascorado
arrepelador	arrepelante
arrepelação	ulo
arrependido	compungido
arrependimento	metanóia
arrepiado	híspido
arrepiamento	erriçamento
arrepiar	eriçar
arrepiar-se	enchoiriçar-se
arrevesado	nebuloso
arrevesar	inverter
arrevessar	lançar
arriar	desesperar
arribadiço	estrangeiro
arribana	rancho
arribar	recobrar
arrijar	inteiriçar
arrimar-se	jogar
arrincoar	estacionar
arrinconar	enrinconar
arrinconar-se	encantoar-se
arriosca	ludíbrio
arriscado	venturoso
arriscar	expor
arriscar-se	ousar
arriçar	encarniçar
arriçar-se	encrespar-se
arrochada	taca
arrocho	quê
arrociar	relentar
arrodear	rondear
arrodelar-se	cobrir-se
arrogante	corajoso
arrogância	inchação
arrojado	intérrito
arrojamento	dardejamento
arrojar	sacudir
arrojar-se	atrever-se
arrojo	lançamento
arrolado	enovelado
arrombamento	depredação
arrombar	quebrar
arrostar	desafiar
arrotar	galhardear
arrotear	surcar
arroubar-se	embevecer-se
arroxeado	roxeado
arrozal	arrozeira
arrrocho	torcedor
arruaceiro	bagunceiro
arruaçador	rusgador
arrufado	hirto
arrufar-se	enchoiriçar-se
arrugado	enrugado
arruinador	prodigalizador
arruinar	avariar
arrumar	expelir
arrumação	tessitura
arrunhar	lacerar
arrupiar	enoiriçar
arruá	atravessado
arte	safadice
arteiro	maquiavélico
artesão	artista
articular	concatenar
articulação	união
artificioso	inatural
artimanha	raposice
artista	sonso
arvoado	torvado
arvoamento	desorientação
arvoar	desconcertar
arvorado	içado
arvorar	ostentar
aréola	resplandor
asca	enojamento
ascendente	ascensível
ascendência	predominância
asco	enfaro
ascoroso	nauseabundo
aselha	fivela
asfaltagem	asfaltamento
asfixiador	asfixioso
asfixiante	asfíxico
asfixiar	reduzir
asfixiar-se	esganar-se
asilar	hospedar
asilar-se	hospedar-se
asinino	bordalengo
asinário	manco
asnal	beócio
asneira	babugeira
asnidade	bestice
asnil	boçal
aspado	aspeado
aspecto	traço
asperger	despargir
aspergido	borrifado
aspergir	desparzir
asperidade	crespidão
aspirado	disputado
aspiração	idealização
asqueroso	balordo
assacar	referir
assaltada	saltada
assaltar	lembrar
assaltear	tomar
assanhadiço	violento
assanhado	sanhoso
assanhamento	atiramento
assanhar	derrancar
assanhar-se	encolerizar-se
assar	queimar
assassinar	destruir
assassínio	morticínio
assazoar	revestir
assazonar-se	requintar-se
asseado	delicado
assear	limpar
assecla	partidário
assedentado	sequioso
assediador	assediante
assediar	enrolar
assegurar	segurar
assegurar-se	fundar-se
asselvajado	rude
assembléia	tertúlia
assemelhar	parecer-se
assenhorear-se	senhorear
assenso	deferimento
assentado	encravado
assentamento	firmação
assentar	pressupor
assentar-se	sedimentar-se
assente	determinado
assento	base
asserenar	calmar-se
assetar	detrair
assetear	mortificar
assiduamente	reiteradamente
assiduidade	presença
assimilar	entender
assimétrico	dissimétrico
assinado	determinado
assinalado	ínclito
assinalar	impor
assinalável	notável
assinar	traçar
assistido	auxiliado
assistir	demorar
assoado	esmoncado
assoalhar	dar
assoberbado	imponente
assoberbante	fatigante
assoberbar-se	desvanecer-se
assobiado	assoviado
assobio	silvo
associado	emparceirado
associar	vincular
associar-se	consociar-se
associação	congregação
assolapar	desmelhorar
assolação	vastação
assomada	pique
assomadiço	irritadiço
assomado	atrabilioso
assombrado	sombroso
assombrar	assustar
assombrar-se	pasmar-se
assombração	assombro
assombrear	entrevar
assombro	temor
assombroso	estranho
assomo	indício
assoprado	campanudo
assossegar-se	quietar-se
assovelado	provocado
assuada	balbúrdia
assustado	titubante
assustador	terrível
assustar	aterrorizar
assustar-se	espaventar-se
assédio	insistência
asteróide	estrelário
astilha	estila
astral	ástreo
astroso	sombrio
astucioso	espertalhão
astuto	finório
astúcia	subtileza
atabalhoado	enleado
atabalhoamento	pipoco
atacoado	atamancado
atado	preso
atadura	prisão
atafulhado	espadongado
atalaia	vedeta
atalho	senda
atamento	ligadura
atapetar	carpetar
ataque	salteada
atar	embirar
atarantadamente	tontamente
atarantação	salsada
atarraxar	tarraxar
atascal	lameiro
atassalhado	espedaçado
atassalhar	retalhar
ataviado	engalenado
ataviar	ornamentar
ataviar-se	embonecar-se
atemorizar	intimidar
atempado	caído
atenciosamente	polidamente
atencioso	desempoado
atender	ver
atendível	cabível
atentar	desafiar
atenuado	langoroso
atenuar	suavizar
atenuação	refrescamento
atenção	zelo
aterrar	poisar
aterrar-se	estremecer-se
aterrorizador	terrorizante
aterrorizante	fero
atesar	endurar
atesar-se	entabuar-se
atestado	atulhado
atestar	fartar
atilado	maduro
atilamento	precaução
atilar-se	sazonar-se
atinado	ponderado
atinar	notar
atingir	fisgar
atiramento	remetida
atirar	disparar
atirar-se	derrocar-se
atitar	ciciar
atitude	comportamento
ativado	excitado
atividade	dinamismo
ativo	laborioso
atiçar	espicaçar
atoarda	balela
atocaiar	esquadrinhar
atochado	comprimido
atochar	atrapachar
atolar-se	envasar-se
atoleiro	tijuco
atomizador	nebulizador
atontado	estonteado
atontar	estontecer
atontear	azamboar
atopetado	repleto
atopetar	lotar
atordoado	atrapalhado
atordoar	azoratar
atormentado	magoado
atormentar	chicotar
atormentativo	escruciante
atrabilioso	iracundo
atrabiliário	tomadiço
